#wave(A)    	flux(maggies)	flux(ABmag)
2.691525e+03	3.301561e-09	2.120320e+01
2.704191e+03	3.164076e-09	2.124938e+01
2.716857e+03	3.243406e-09	2.122250e+01
2.729523e+03	3.345463e-09	2.118886e+01
2.742189e+03	3.302156e-09	2.120301e+01
2.754855e+03	3.312868e-09	2.119949e+01
2.767521e+03	3.296859e-09	2.120475e+01
2.780187e+03	3.413854e-09	2.116689e+01
2.792853e+03	3.377255e-09	2.117859e+01
2.805519e+03	3.285297e-09	2.120856e+01
2.818185e+03	3.245820e-09	2.122169e+01
2.830851e+03	3.410489e-09	2.116796e+01
2.843517e+03	3.342552e-09	2.118980e+01
2.856183e+03	3.264431e-09	2.121548e+01
2.868849e+03	3.332642e-09	2.119303e+01
2.881515e+03	3.411205e-09	2.116773e+01
2.894181e+03	3.490811e-09	2.114268e+01
2.906847e+03	3.352736e-09	2.118650e+01
2.919513e+03	3.437939e-09	2.115925e+01
2.932179e+03	3.339841e-09	2.119069e+01
2.944845e+03	2.902792e-09	2.134296e+01
2.957511e+03	3.216709e-09	2.123147e+01
2.970177e+03	3.166499e-09	2.124855e+01
2.982843e+03	3.360132e-09	2.118411e+01
2.995509e+03	3.194500e-09	2.123899e+01
3.008175e+03	3.282197e-09	2.120959e+01
3.020841e+03	3.139500e-09	2.125785e+01
3.033507e+03	3.282150e-09	2.120960e+01
3.046173e+03	3.223671e-09	2.122912e+01
3.058839e+03	3.295262e-09	2.120528e+01
3.071505e+03	3.453267e-09	2.115442e+01
3.084171e+03	3.386352e-09	2.117567e+01
3.096837e+03	3.529929e-09	2.113059e+01
3.109503e+03	3.529359e-09	2.113076e+01
3.122169e+03	3.524158e-09	2.113236e+01
3.134835e+03	3.457127e-09	2.115321e+01
3.147501e+03	3.522287e-09	2.113294e+01
3.160167e+03	3.397198e-09	2.117220e+01
3.172833e+03	3.683135e-09	2.108446e+01
3.182966e+03	3.413450e-09	2.116702e+01
3.189299e+03	3.471680e-09	2.114865e+01
3.198165e+03	3.399301e-09	2.117153e+01
3.210831e+03	3.445102e-09	2.115699e+01
3.223497e+03	3.448101e-09	2.115605e+01
3.236163e+03	3.625965e-09	2.110144e+01
3.248829e+03	3.580196e-09	2.111523e+01
3.261495e+03	3.739622e-09	2.106793e+01
3.274161e+03	3.727604e-09	2.107143e+01
3.286827e+03	3.710939e-09	2.107629e+01
3.299493e+03	3.644090e-09	2.109603e+01
3.312159e+03	3.629019e-09	2.110053e+01
3.324825e+03	3.774412e-09	2.105788e+01
3.337491e+03	3.886297e-09	2.102616e+01
3.350157e+03	4.151531e-09	2.095448e+01
3.362823e+03	4.243683e-09	2.093064e+01
3.375489e+03	3.970852e-09	2.100279e+01
3.388155e+03	4.130271e-09	2.096005e+01
3.400821e+03	4.149962e-09	2.095489e+01
3.413487e+03	4.030229e-09	2.098668e+01
3.426153e+03	4.139307e-09	2.095768e+01
3.438819e+03	4.006557e-09	2.099307e+01
3.451485e+03	4.027842e-09	2.098732e+01
3.464151e+03	4.193022e-09	2.094368e+01
3.476817e+03	3.799790e-09	2.105060e+01
3.489483e+03	3.890747e-09	2.102492e+01
3.502149e+03	4.021931e-09	2.098891e+01
3.514815e+03	4.182274e-09	2.094647e+01
3.527481e+03	4.015138e-09	2.099075e+01
3.540147e+03	3.494883e-09	2.114142e+01
3.552813e+03	3.675000e-09	2.108686e+01
3.565479e+03	4.238810e-09	2.093189e+01
3.578145e+03	4.443639e-09	2.088065e+01
3.590811e+03	4.355415e-09	2.090243e+01
3.603477e+03	4.304832e-09	2.091511e+01
3.616143e+03	4.188638e-09	2.094482e+01
3.628809e+03	4.531365e-09	2.085943e+01
3.641475e+03	4.554714e-09	2.085385e+01
3.654141e+03	4.562143e-09	2.085208e+01
3.666807e+03	4.561363e-09	2.085226e+01
