#wave(A)    	flux(maggies)	flux(ABmag)
4.000500e+03	6.351644e-09	2.049278e+01
4.025900e+03	6.431111e-09	2.047928e+01
4.051300e+03	6.291300e-09	2.050315e+01
4.076700e+03	6.503486e-09	2.046713e+01
4.102100e+03	6.402735e-09	2.048409e+01
4.127500e+03	6.693870e-09	2.043581e+01
4.152900e+03	6.902352e-09	2.040251e+01
4.178300e+03	6.959356e-09	2.039358e+01
4.203700e+03	7.028829e-09	2.038279e+01
4.229100e+03	7.062826e-09	2.037755e+01
4.254500e+03	7.061843e-09	2.037770e+01
4.279900e+03	6.958772e-09	2.039367e+01
4.305300e+03	7.087116e-09	2.037383e+01
4.330700e+03	7.212137e-09	2.035484e+01
4.356100e+03	7.319907e-09	2.033874e+01
4.381500e+03	7.432548e-09	2.032216e+01
4.406900e+03	7.497981e-09	2.031264e+01
4.432300e+03	7.648590e-09	2.029105e+01
4.457700e+03	7.828209e-09	2.026584e+01
4.483100e+03	7.790794e-09	2.027105e+01
4.508500e+03	8.042747e-09	2.023649e+01
4.533900e+03	7.721920e-09	2.028069e+01
4.559300e+03	7.781131e-09	2.027239e+01
4.584700e+03	8.060963e-09	2.023403e+01
4.610100e+03	8.188807e-09	2.021695e+01
4.622800e+03	8.252540e-09	2.020853e+01
4.635500e+03	8.752667e-09	2.014465e+01
4.660900e+03	8.704801e-09	2.015060e+01
4.686300e+03	8.484418e-09	2.017844e+01
4.711700e+03	9.402179e-09	2.006693e+01
4.737100e+03	9.269740e-09	2.008233e+01
4.762500e+03	1.088516e-08	1.990791e+01
4.787900e+03	1.152772e-08	1.984564e+01
4.813300e+03	1.308747e-08	1.970786e+01
4.838700e+03	1.454058e-08	1.959355e+01
4.864100e+03	1.208934e-08	1.979399e+01
4.889500e+03	1.549912e-08	1.952423e+01
4.914900e+03	1.687185e-08	1.943209e+01
4.940300e+03	1.231929e-08	1.977354e+01
4.965700e+03	1.774316e-08	1.937742e+01
4.991100e+03	1.557274e-08	1.951909e+01
5.016500e+03	1.754592e-08	1.938956e+01
5.041900e+03	1.164607e-08	1.983455e+01
5.067300e+03	1.867270e-08	1.932198e+01
5.092700e+03	2.046504e-08	1.922247e+01
5.118100e+03	2.066649e-08	1.921183e+01
5.143500e+03	2.076406e-08	1.920672e+01
5.168900e+03	2.024203e-08	1.923436e+01
5.194300e+03	1.826371e-08	1.934603e+01
5.219700e+03	1.568302e-08	1.951143e+01
5.245100e+03	2.057119e-08	1.921685e+01
5.270500e+03	2.150100e-08	1.916885e+01
5.295900e+03	2.174441e-08	1.915663e+01
5.321300e+03	2.178562e-08	1.915458e+01
5.346700e+03	2.205348e-08	1.914131e+01
5.372100e+03	2.196468e-08	1.914569e+01
5.397500e+03	2.220066e-08	1.913409e+01
5.422900e+03	2.188464e-08	1.914965e+01
5.448300e+03	2.182676e-08	1.915253e+01
5.473700e+03	2.058723e-08	1.921601e+01
