#wave(A)    	flux(maggies)	flux(ABmag)
1.822450e+03	1.508210e-09	2.205385e+01
1.831340e+03	1.604541e-09	2.198662e+01
1.837690e+03	1.621669e-09	2.197509e+01
1.847850e+03	1.654768e-09	2.195316e+01
1.860550e+03	1.631971e-09	2.196822e+01
1.873250e+03	1.665220e-09	2.194632e+01
1.885950e+03	1.692765e-09	2.192851e+01
1.898650e+03	1.719469e-09	2.191151e+01
1.911350e+03	1.768828e-09	2.188079e+01
1.920240e+03	1.768935e-09	2.188072e+01
1.926590e+03	1.795312e-09	2.186465e+01
1.936750e+03	1.757859e-09	2.188754e+01
1.949450e+03	1.755587e-09	2.188894e+01
1.962150e+03	1.840281e-09	2.183779e+01
1.974850e+03	1.814592e-09	2.185305e+01
1.987550e+03	1.728914e-09	2.190557e+01
2.000250e+03	1.827665e-09	2.184526e+01
2.012950e+03	1.903333e-09	2.180121e+01
2.025650e+03	1.974186e-09	2.176153e+01
2.038350e+03	1.913210e-09	2.179559e+01
2.051050e+03	1.959038e-09	2.176989e+01
2.063750e+03	1.883752e-09	2.181244e+01
2.076450e+03	1.944851e-09	2.177778e+01
2.089150e+03	2.006118e-09	2.174411e+01
2.101850e+03	1.864661e-09	2.182350e+01
2.114550e+03	2.076889e-09	2.170647e+01
2.123440e+03	1.960923e-09	2.176885e+01
2.129790e+03	2.034036e-09	2.172910e+01
2.139950e+03	2.123616e-09	2.168231e+01
2.152650e+03	2.073847e-09	2.170806e+01
2.165350e+03	2.085760e-09	2.170184e+01
2.178050e+03	2.149884e-09	2.166896e+01
2.190750e+03	2.144516e-09	2.167168e+01
2.203450e+03	2.230557e-09	2.162897e+01
2.216150e+03	2.207307e-09	2.164034e+01
2.228850e+03	2.287868e-09	2.160142e+01
2.241550e+03	2.190823e-09	2.164848e+01
2.254250e+03	2.319615e-09	2.158646e+01
2.266950e+03	2.318668e-09	2.158690e+01
2.279650e+03	2.394876e-09	2.155179e+01
2.292350e+03	2.440755e-09	2.153119e+01
2.305050e+03	2.451671e-09	2.152634e+01
2.317750e+03	2.431149e-09	2.153547e+01
2.330450e+03	2.459848e-09	2.152273e+01
2.343150e+03	2.406285e-09	2.154663e+01
2.355850e+03	2.471736e-09	2.151749e+01
2.368550e+03	2.511503e-09	2.150017e+01
2.381250e+03	2.553728e-09	2.148206e+01
2.393950e+03	2.577776e-09	2.147189e+01
2.406650e+03	2.604363e-09	2.146075e+01
2.419350e+03	2.607597e-09	2.145940e+01
2.432050e+03	2.637829e-09	2.144688e+01
2.444750e+03	2.678591e-09	2.143023e+01
2.457450e+03	2.630760e-09	2.144980e+01
2.470150e+03	2.757352e-09	2.139877e+01
