 1 2 3 4 5 6 7 8 9 10 11 12
33982100000000 1.19126E-25 1.22621E-25 1.22621E-25 1.22621E-25 1.22621E-25 2.0583E-22 9.09888E-22 1.27689E-21 0 0 0 0.179093
39241900000000 9.64482E-26 1.00408E-25 1.00408E-25 1.00408E-25 1.00408E-25 1.85657E-22 8.12676E-22 8.07428E-22 0 0 0 0.197804
45315800000000 7.88396E-26 8.32612E-26 8.32612E-26 8.32612E-26 8.32612E-26 1.67602E-22 7.19686E-22 5.06693E-22 0 0 0 0.218621
52329900000000 6.54549E-26 7.03183E-26 7.03183E-26 7.03183E-26 7.03183E-26 1.52196E-22 6.48765E-22 4.09541E-22 0 0 0 0.241387
60429600000000 5.51791E-26 6.04348E-26 6.04348E-26 6.04348E-26 6.04348E-26 1.3754E-22 5.68512E-22 2.73712E-22 0 0 0 0.265741
69783100000000 4.76477E-26 5.32807E-26 5.32807E-26 5.32807E-26 5.32807E-26 1.25124E-22 5.0691E-22 2.2212E-22 0 0 0 0.291055
80584200000000 4.20247E-26 4.8029E-26 4.8029E-26 4.8029E-26 4.8029E-26 1.13529E-22 4.35692E-22 1.59516E-22 0 0 0 0.316368
93057200000000 3.76072E-26 4.40658E-26 4.40658E-26 4.40658E-26 4.40658E-26 1.02195E-22 3.6682E-22 1.16891E-22 0 0 0 0.340344
107461000000000 3.39582E-26 4.13832E-26 4.13832E-26 4.13832E-26 4.13832E-26 9.22649E-23 3.21501E-22 1.00165E-22 0 0 0 0
124094000000000 2.97858E-26 3.96956E-26 3.96956E-26 3.96956E-26 3.96956E-26 8.35047E-23 2.641E-22 7.6547E-23 0 0 0 0
143301000000000 2.27609E-26 3.80798E-26 3.80798E-26 3.80798E-26 3.80798E-26 7.41999E-23 2.09336E-22 5.83906E-23 0 0 0 0
165482000000000 1.29786E-26 3.71889E-26 3.71889E-26 3.71889E-26 3.71889E-26 6.6341E-23 1.79359E-22 5.03564E-23 0 0 0 0
191095000000000 4.05369E-27 3.59051E-26 3.59051E-26 3.59051E-26 3.59051E-26 5.79794E-23 1.36761E-22 3.80834E-23 0 0 0 0
220673000000000 4.91567E-28 3.54244E-26 3.54244E-26 3.54244E-26 3.54244E-26 5.14515E-23 1.14642E-22 3.22294E-23 0 0 0 0
254830000000000 1.43979E-29 3.38794E-26 3.38794E-26 3.38794E-26 3.38794E-26 4.39599E-23 8.29989E-23 2.37148E-23 0 0 0 0
294273000000000 7.00027E-32 3.15407E-26 3.15407E-26 3.15407E-26 3.15407E-26 3.64046E-23 5.655E-23 1.66501E-23 0 0 0 0
339821000000000 4.74788E-35 3.05997E-26 3.05997E-26 3.05997E-26 3.05997E-26 3.13573E-23 4.62077E-23 1.37893E-23 0 0 0 0
392419000000000 3.88542E-39 2.76849E-26 2.76849E-26 2.76849E-26 2.76849E-26 2.51136E-23 2.95796E-23 9.17466E-24 0 0 0 0
453158000000000 4.79366E-44 2.38897E-26 2.38897E-26 2.38897E-26 2.38897E-26 1.91524E-23 1.71109E-23 5.63223E-24 0 0 0 0
523299000000000 1.55653E-49 2.27159E-26 2.27159E-26 2.27159E-26 2.27159E-26 1.60884E-23 1.36961E-23 4.56167E-24 0 0 0 0
604296000000000 1.82315E-55 1.85154E-26 1.85154E-26 1.85154E-26 1.85154E-26 1.15671E-23 7.22285E-24 2.5718E-24 0 0 0 0
697831000000000 1.93662E-61 1.71003E-26 1.71003E-26 1.71003E-26 1.71003E-26 9.42143E-24 5.66125E-24 2.03025E-24 0 0 0 0
805842000000000 2.57007E-67 1.29721E-26 1.29721E-26 1.29721E-26 1.29721E-26 6.29715E-24 2.65615E-24 1.04118E-24 0 0 0 0
930572000000000 8.30811E-73 8.84765E-27 8.84765E-27 8.84765E-27 8.84765E-27 3.78248E-24 1.07626E-24 4.53788E-25 0 0 0 0
1074610000000000 1.54092E-77 7.99916E-27 7.99916E-27 7.99916E-27 7.99916E-27 3.0118E-24 8.49313E-25 3.57435E-25 0 0 0 0
1240940000000000 1.14147E-81 4.76453E-27 4.76453E-27 4.76453E-27 4.76453E-27 1.57906E-24 2.9626E-25 1.36013E-25 0 0 0 0
1433010000000000 5.13702E-85 2.32585E-27 2.32585E-27 2.32585E-27 2.32585E-27 6.78235E-25 8.56351E-26 4.06364E-26 0 0 0 0
1654820000000000 3.48583E-87 2.14302E-27 2.14302E-27 2.14302E-27 2.14302E-27 5.5002E-25 6.78923E-26 3.22722E-26 0 0 0 0
1910950000000000 7.63164E-89 8.24185E-28 8.24185E-28 8.24185E-28 8.24185E-28 1.86059E-25 1.64471E-26 8.01373E-27 0 0 0 0
2206730000000000 2.69278E-89 7.43498E-28 7.43498E-28 7.43498E-28 7.43498E-28 1.47632E-25 1.32918E-26 6.37315E-27 0 0 0 0
2548300000000000 1.74967E-89 2.14947E-28 2.14947E-28 2.14947E-28 2.14947E-28 3.75381E-26 2.78986E-27 1.41397E-27 0 0 0 0
2942730000000000 3.66529E-89 4.33368E-29 4.33368E-29 4.33368E-29 4.33368E-29 6.65074E-27 4.0338E-28 2.36976E-28 0 0 0 0
3398210000000000 1.34203E-87 4.18629E-29 4.18629E-29 4.18629E-29 4.18629E-29 5.65254E-27 3.35137E-28 1.9235E-28 0 0 0 0
3924190000000000 2.1075E-86 6.04797E-30 6.04797E-30 6.04797E-30 6.04797E-30 7.17901E-28 3.63661E-29 2.71096E-29 0 0 0 0
4531580000000000 5.23036E-85 6.0759E-31 6.0759E-31 6.0759E-31 6.0759E-31 6.33864E-29 2.1656E-30 2.43725E-30 0 0 0 0
5232990000000000 1.97411E-82 5.07025E-31 5.07025E-31 5.07025E-31 5.07025E-31 4.65135E-29 1.94241E-30 1.68189E-30 0 0 0 0
6042960000000000 7.41564E-81 2.79379E-32 2.79379E-32 2.79379E-32 2.79379E-32 2.25271E-30 5.68237E-32 1.35797E-31 0 0 0 0
6978310000000000 3.61703E-78 1.572E-32 1.572E-32 1.572E-32 1.572E-32 1.1146E-30 3.15581E-32 5.07872E-32 0 0 0 0
8058420000000000 6.40605E-77 2.91956E-34 2.91956E-34 2.91956E-34 2.91956E-34 1.82004E-32 2.12295E-34 1.21834E-33 0 0 0 0
9.30572E+015 4.71055E-77 2.30787E-37 2.30787E-37 2.30787E-37 2.30787E-37 1.26495E-35 2.10892E-39 3.4326E-36 0 0 0 0
1.07461E+016 1.04527E-74 6.21969E-38 6.21969E-38 6.21969E-38 6.21969E-38 2.99839E-36 1.3915E-39 1.3677E-37 0 0 0 0
1.24094E+016 1.29642E-75 1.14224E-41 1.14224E-41 1.14224E-41 1.14224E-41 4.84368E-40 9.78844E-42 3.84554E-41 0 0 0 0
1.43301E+016 9.73547E-79 1.64024E-47 1.64024E-47 1.64024E-47 1.64024E-47 6.11997E-46 3.5768E-54 2.79378E-46 0 0 0 0
1.65482E+016 1.39321E-79 6.04138E-51 6.04138E-51 6.04138E-51 6.04138E-51 1.98369E-49 1.10393E-55 4.8359E-51 0 0 0 0
1.91095E+016 5.94498E-85 9.1804E-59 9.1804E-59 9.1804E-59 9.1804E-59 2.65455E-57 1.91502E-59 1.62717E-58 0 0 0 0
2.20673E+016 2.84192E-91 2.19776E-67 2.19776E-67 2.19776E-67 2.19776E-67 5.5981E-66 4.08335E-68 2.6414E-67 0 0 0 0
2.5483E+016 2.94078E-101 1.61282E-79 1.61282E-79 1.61282E-79 1.61282E-79 3.62097E-78 1.61043E-80 2.11512E-79 0 0 0 0
2.94273E+016 1.5273E-116 8.40908E-97 8.40908E-97 8.40908E-97 8.40908E-97 1.66509E-95 2.01991E-101 3.37045E-95 0 0 0 0
3.39821E+016 0 0 0 0 0 0 0 0 0 0 0 0
3.92419E+016 0 0 0 0 0 0 0 0 0 0 0 0
4.53158E+016 0 0 0 0 0 0 0 0 0 0 0 0
5.23299E+016 0 0 0 0 0 0 0 0 0 0 0 0
6.04296E+016 0 0 0 0 0 0 0 0 0 0 0 0
6.97831E+016 0 0 0 0 0 0 0 0 0 0 0 0
8.05842E+016 0 0 0 0 0 0 0 0 0 0 0 0
9.30572E+016 0 0 0 0 0 0 0 0 0 0 0 0
