,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
67,UVM2,Swift,58707.2838713867,19.672214768769752,0.0915,True,47.0
68,UVW1,Swift,58712.4132152265,19.399115724239078,0.1119,True,48.0
69,U,Swift,58712.41413551151,18.74099705589742,0.1234,True,49.0
70,B,Swift,58712.4146585539,18.681789482634645,0.1563,True,50.0
71,UVW2,Swift,58712.4162941459,19.9439831344073,0.1119999999999999,True,51.0
72,V,Swift,58712.4176216079,18.47630478324124,0.1842,True,52.0
73,UVM2,Swift,58712.4198647114,19.629000358450416,0.0968,True,53.0
74,UVW1,Swift,58719.5551929413,19.563300269466115,0.178,True,54.0
75,U,Swift,58719.555949955706,18.35068060058336,0.1507,True,55.0
76,B,Swift,58719.556357879694,18.411457236457217,0.1913,True,56.0
77,UVW2,Swift,58719.5574835171,20.209206581554817,0.1797,True,57.0
78,V,Swift,58719.5585980457,18.007005152793838,0.2399,True,58.0
79,UVM2,Swift,58719.5601840913,19.63404113527469,0.1408,True,59.0
80,UVW1,Swift,58724.333813217,19.68233051312155,0.1195,True,60.0
81,U,Swift,58724.334907352,18.607717797956223,0.1117,True,61.0
82,B,Swift,58724.3354655742,18.33843317234633,0.1238,True,62.0
83,UVW2,Swift,58724.337002968,19.83662438739525,0.1062,True,63.0
84,V,Swift,58724.3386210641,18.27604741407497,0.1628,True,64.0
85,UVM2,Swift,58724.3408333301,19.83738530366514,0.0948,True,65.0
86,UVW1,Swift,58729.5793039976,19.736571506729454,0.1257,True,66.0
87,U,Swift,58729.5803761119,18.8782022235551,0.1296,True,67.0
88,B,Swift,58729.5809004307,18.6862221457277,0.2123,True,68.0
89,UVW2,Swift,58729.91464638901,20.23838903294656,0.1736,True,69.0
90,V,Swift,58729.9158867621,18.69241112584437,0.3089,True,70.0
91,UVM2,Swift,58729.9180046604,19.99287818097615,0.1383,True,71.0
92,UVW1,Swift,58734.4289056035,19.758957490383885,0.1241,True,72.0
93,U,Swift,58734.4309645537,18.64346505641574,0.1062,True,73.0
94,B,Swift,58734.4320231518,18.48154232232961,0.1186,True,74.0
95,UVW2,Swift,58734.4350946192,20.34805296866105,0.1214,True,75.0
96,V,Swift,58734.4381589987,18.338546795646348,0.1655,True,76.0
97,UVM2,Swift,58734.4428347708,20.086388186303385,0.1023,True,77.0
98,UVW1,Swift,58750.42808533231,19.74895406300002,0.1001,True,78.0
99,U,Swift,58750.4289073576,18.94225387633364,0.1075,True,79.0
100,UVW2,Swift,58750.4307380049,20.54591237081481,0.1097,True,80.0
101,UVM2,Swift,58750.4339967384,20.16453131104846,0.086,True,81.0
102,V,Swift,58750.4319328545,18.60072901342581,0.156,True,82.0
103,B,Swift,58750.4293696163,18.677729187637265,0.123,True,83.0
104,UVM2,Swift,59007.6898168516,21.333854721719987,0.1558,True,84.0
105,UVW1,Swift,59007.692830919805,21.08025111207718,0.1485,True,85.0
106,U,Swift,59007.6947196033,20.04042313065948,0.1238,True,86.0
107,UVW2,Swift,59007.6970416876,21.40716227690154,0.1257,True,87.0
108,ZTF_g,P48,58599.25238430001,21.462760962217207,0.1718607944331312,False,
109,ZTF_g,P48,58600.39372690001,21.340183217251724,0.1828703247254838,False,
110,ZTF_g,P48,58600.39875,21.139637630456196,0.141410921153577,False,
111,ZTF_g,P48,58600.3997106,21.4076547801918,0.182376276704168,False,
112,ZTF_r,P48,58600.46958330001,21.13726917576204,0.1662230539545631,False,
113,ZTF_r,P48,58605.3794097,20.67266686758653,0.1401292459258041,False,
114,ZTF_r,P48,58605.4004282,20.50931304577617,0.1020220982214979,False,
115,ZTF_r,P48,58605.4013426,20.56087409324804,0.1067599333279706,False,
116,ZTF_r,P48,58605.41973380001,20.64456831293026,0.1576198422314805,False,
117,ZTF_g,P48,58605.48425930001,20.4249415397246,0.1018534842818714,False,
118,ZTF_r,P48,58606.3095255,20.511385541348048,0.147023007154454,False,
119,ZTF_r,P48,58607.36155090001,20.146499254208287,0.0623067251014318,False,
120,ZTF_r,P48,58607.3783449,20.183548898601693,0.0735081658075203,False,
121,ZTF_g,P48,58607.4166204,20.306573263550437,0.0700362815427441,False,
122,ZTF_g,P48,58607.4359954,20.2603722568902,0.0627093367259531,False,
123,ZTF_g,P48,58608.31751159999,20.191536463841565,0.0870246905699243,False,
124,ZTF_r,P48,58608.3406019,20.07034785805816,0.1118838375359167,False,
125,ZTF_r,P48,58608.3577431,19.979936827150578,0.1011749969920703,False,
126,ZTF_r,P48,58608.3591319,20.040288733726488,0.0926929363163668,False,
127,ZTF_r,P48,58608.3795718,20.192348252805065,0.154478143349517,False,
128,ZTF_g,P48,58608.4022685,20.24323806778988,0.0848672407905785,False,
129,ZTF_g,P48,58608.40317130001,20.19414147515162,0.0694451569377787,False,
130,ZTF_r,P48,58608.4945255,20.489800444352667,0.1339322057420583,False,
131,ZTF_r,P48,58612.4211574,19.7088161870094,0.0388572705948883,False,
132,ZTF_r,P48,58612.4220602,19.83449100624797,0.0482234121968315,False,
133,ZTF_r,P48,58612.4616551,19.803575778113053,0.0426263015108726,False,
134,ZTF_i,P48,58616.31910880001,19.344046707154373,0.0643530222613009,False,
135,ZTF_r,P48,58616.3771065,19.351223379423143,0.0368929507536054,False,
136,ZTF_r,P48,58616.3966204,19.366435894408543,0.0323095907117512,False,
137,ZTF_g,P48,58616.4556597,19.417907050675915,0.0278755845863312,False,
138,ZTF_g,P48,58616.4565741,19.433285204341388,0.0309131355211243,False,
139,ZTF_g,P48,58616.46307869999,19.44513841130085,0.0286458889831625,False,
140,ZTF_g,P48,58616.4843866,19.40458602101448,0.0441976128688286,False,
141,ZTF_r,P48,58617.3178704,19.23011967791495,0.0421587517234991,False,
142,ZTF_r,P48,58617.3378704,19.19835529581076,0.0423102653289044,False,
143,ZTF_r,P48,58617.3586574,19.32312561306872,0.0503952271057523,False,
144,ZTF_g,P48,58617.4154398,19.380259510471877,0.0410115518644453,False,
145,ZTF_g,P48,58617.420196800005,19.303935986694214,0.035383520967893,False,
146,ZTF_g,P48,58617.44291669999,19.398443147688003,0.027358460157137,False,
147,ZTF_r,P48,58618.233912,19.49506683519092,0.0931310197293078,False,
148,ZTF_r,P48,58618.3364931,19.14371578390381,0.0767066107427574,False,
149,ZTF_r,P48,58618.3566898,19.25111670217773,0.0545728751719647,False,
150,ZTF_g,P48,58618.4196181,19.090786845560213,0.092078427219258,False,
151,ZTF_g,P48,58618.44123840001,19.08699658143105,0.1546446785075675,False,
152,ZTF_r,P48,58619.3503935,19.15825565400571,0.1046488071361311,False,
153,ZTF_r,P48,58627.3956019,18.75832017726388,0.0252535078829458,False,
154,ZTF_i,P48,58627.453912,18.849784350498883,0.0385754955434044,False,
155,ZTF_r,P48,58628.35960650001,18.758377559001,0.0245299020056096,False,
156,ZTF_r,P48,58628.37633099999,18.73426168620701,0.023916118897978,False,
157,ZTF_r,P48,58628.3772454,18.770092891529096,0.0245568575956306,False,
158,ZTF_r,P48,58632.27392359999,18.64798554878506,0.0216146418536868,False,
