jd,obsmjd,telescope,band,abmag,abmag_err,alert
2458688.91468206,58688.4146820628,Swift,UVM2,19.542,0.1321,True
2458694.18749598,58693.6874959753,Swift,UVW1,18.9827,0.0878,True
2458694.1892164,58693.6892163963,Swift,U,18.5706,0.0987,True
2458694.18992057,58693.6899205749,Swift,B,18.2218,0.1039,True
2458694.19121343,58693.6912134308,Swift,UVW2,19.6174,0.0973,True
2458694.19396061,58693.6939606131,Swift,V,17.9436,0.1491,True
2458694.19551014,58693.6955101378,Swift,UVM2,19.3564,0.83,True
2458706.24792762,58705.7479276159,Swift,UVW1,18.9096,0.1044,True
2458706.24950354,58705.7495035445,Swift,U,18.4144,0.1138,True
2458706.25031665,58705.7503166473,Swift,B,18.1682,0.1248,True
2458706.25267634,58705.7526763384,Swift,UVW2,19.6039,0.1155,True
2458706.25502735,58705.7550273459,Swift,V,17.7655,0.1724,True
2458706.25850048,58705.7585004806,Swift,UVM2,19.391,0.0993,True
2458707.76984159,58707.2698415937,Swift,UVW1,19.0214,0.0973,True
2458707.77193604,58707.2719360432,Swift,U,18.4553,0.1027,True
2458707.77301156,58707.273011561,Swift,B,18.1518,0.1083,True
2458707.77613647,58707.2761364686,Swift,UVW2,19.608,0.1047,True
2458707.77925218,58707.2792521827,Swift,V,18.1174,0.1825,True
2458707.78387139,58707.2838713867,Swift,UVM2,19.4672,0.0915,True
2458712.91321523,58712.4132152265,Swift,UVW1,19.2084,0.1119,True
2458712.91413551,58712.4141355115,Swift,U,18.5893,0.1234,True
2458712.91465855,58712.4146585539,Swift,B,18.4563,0.1563,True
2458712.91629415,58712.4162941459,Swift,UVW2,19.7157,0.112,True
2458712.91762161,58712.4176216079,Swift,V,18.0147,0.1842,True
2458712.91986471,58712.4198647114,Swift,UVM2,19.4313,0.0968,True
2458720.05519294,58719.5551929413,Swift,UVW1,19.3444,0.178,True
2458720.05594996,58719.5559499557,Swift,U,18.2426,0.1507,True
2458720.05635788,58719.5563578797,Swift,B,18.2318,0.1913,True
2458720.05748352,58719.5574835171,Swift,UVW2,19.9254,0.1797,True
2458720.05859805,58719.5585980457,Swift,V,17.6861,0.2399,True
2458720.06018409,58719.5601840913,Swift,UVM2,19.4355,0.1408,True
2458724.83381322,58724.333813217,Swift,UVW1,19.4407,0.1195,True
2458724.83490735,58724.334907352,Swift,U,18.4725,0.1117,True
2458724.83546557,58724.3354655742,Swift,B,18.1696,0.1238,True
2458724.83700297,58724.337002968,Swift,UVW2,19.6279,0.1062,True
2458724.83862106,58724.3386210641,Swift,V,17.8797,0.1628,True
2458724.84083333,58724.3408333301,Swift,UVM2,19.6021,0.0948,True
2458730.079304,58729.5793039976,Swift,UVW1,19.4839,0.1257,True
2458730.08037611,58729.5803761119,Swift,U,18.7076,0.1296,True
2458730.08090043,58729.5809004307,Swift,B,18.4599,0.2123,True
2458730.41464639,58729.914646389,Swift,UVW2,19.9478,0.1736,True
2458730.41588676,58729.9158867621,Swift,V,18.151,0.3089,True
2458730.41800466,58729.9180046604,Swift,UVM2,19.7255,0.1383,True
2458734.9289056,58734.4289056035,Swift,UVW1,19.5016,0.1241,True
2458734.93096455,58734.4309645537,Swift,U,18.504,0.1062,True
2458734.93202315,58734.4320231518,Swift,B,18.2909,0.1186,True
2458734.93509462,58734.4350946192,Swift,UVW2,20.0307,0.1214,True
2458734.938159,58734.4381589987,Swift,V,17.9227,0.1655,True
2458734.94283477,58734.4428347708,Swift,UVM2,19.7979,0.1023,True
2458750.92808533,58750.4280853323,Swift,UVW1,19.4937,0.1001,True
2458750.92890736,58750.4289073576,Swift,U,18.7621,0.1075,True
2458750.930738,58750.4307380049,Swift,UVW2,20.1749,0.1097,True
2458750.93399674,58750.4339967384,Swift,UVM2,19.8573,0.86,True
2458750.93193285,58750.4319328545,Swift,V,18.0944,0.156,True
2458750.92936962,58750.4293696163,Swift,B,18.453,0.123,True
2459008.18981685,59007.6898168516,Swift,UVM2,20.6031,0.1558,True
2459008.19283092,59007.6928309198,Swift,UVW1,20.3815,0.1485,True
2459008.1947196,59007.6947196033,Swift,U,19.6029,0.1238,True
2459008.19704169,59007.6970416876,Swift,UVW2,20.71,0.1257,True
