,obsmjd,filter_id,flux,flux_err,mag,mag_err,magzp,magzp_err
42,58987.43,1,578.0964130075757,60.432766405665255,19.3952674865723,0.113494448363781,26.3002681732178,5.75759986531921e-06
43,58991.2731,2,815.0794639714788,75.11179990444843,19.0154914855957,0.100052058696747,26.2934913635254,1.53060000229743e-06
44,58991.3187,1,600.8972291660232,60.01422522724356,19.3287162780762,0.10843363404274,26.2757167816162,3.60519993591879e-06
45,58992.294,2,794.3282347242813,60.81822941532347,19.02659034729,0.0831283181905746,26.27659034729,1.76729997747316e-06
46,58992.333,1,595.3869988058178,65.03479823296021,19.3431358337402,0.118590399622917,26.2801342010498,5.83480004934245e-06
47,58994.415,1,608.1344884801584,61.50969794285336,19.32004737854,0.109813064336777,26.2800464630127,3.64109996553452e-06
48,58995.2751,2,758.5767754586295,56.601978989394915,19.0770568847656,0.0810117945075035,26.2770557403564,1.54359997850406e-06
49,58995.3201,1,577.0320704566897,60.628817887138915,19.3701286315918,0.114074632525444,26.2731285095215,3.81399991056242e-06
50,58996.3103,2,727.7802648022956,59.94847892256752,19.135763168335,0.0894322246313095,26.2907638549805,1.71179999597371e-06
51,58997.2986,2,719.1178671655273,56.0279147349651,19.156343460083,0.0845895782113075,26.2983436584473,2.33209993893979e-06
52,58997.3831,1,552.077206516153,47.16759862723344,19.4333839416504,0.0927578955888748,26.2883834838867,3.74000001102104e-06
53,58998.3626,1,593.198748124076,55.092103912104186,19.3417720794678,0.100830979645252,26.274772644043,4.54949986306019e-06
54,58999.3367,2,750.2394381197064,77.41482110127181,19.1205024719238,0.112032152712345,26.3085021972656,1.5470000107598e-06
55,58999.401,1,586.679041441587,76.79086480872873,19.378023147583,0.142107710242271,26.2990245819092,5.16760019309004e-06
56,59000.3943,2,487.5290382364146,49.29340373856164,19.0990676879883,0.109775111079216,25.8190689086914,2.24459995479265e-06
57,59001.3932,1,578.6288120056836,77.22526613383083,19.3484592437744,0.144902929663658,26.2544593811035,2.2159999844007e-06
58,59004.2213,1,630.957344480193,123.59225095840598,19.236608505249,0.212668374180794,26.236608505249,6.25909979135031e-06
59,59004.2875,2,735.8680155495459,89.38516520030777,19.1481094360352,0.131881445646286,26.3151092529297,1.90540004041395e-06
60,59009.3622,2,719.1178671655273,104.21110751594718,19.2129573822021,0.157337591052055,26.3549575805664,2.13330008591583e-06
61,59012.3125,1,575.4397351582863,55.30877824068405,19.445821762085,0.104352012276649,26.3458213806152,4.28629982707207e-06
62,59015.3097,1,497.5081870440508,63.49492401831534,19.5540142059326,0.138564169406891,26.2960147857666,3.91789990317193e-06
63,59015.3176,2,739.9461830929861,80.62472766508932,19.1404476165771,0.118300549685955,26.3134479522705,1.58459999965999e-06
64,59018.3389,1,519.9955215167785,60.60888884150781,19.5337562561035,0.126545205712318,26.3237552642822,4.50769994131406e-06
65,59024.2424,2,654.0332428897551,53.419215547954096,19.1614608764648,0.0886774212121964,26.20046043396,1.8539000166129e-06
66,59027.2364,1,462.1684153879882,67.30032427049618,19.5465965270996,0.158100605010986,26.2085971832275,2.84230009128805e-06
67,59027.2882,2,672.3572584217668,58.83488799432259,19.1741371154785,0.0950064957141876,26.2431373596191,1.30939997688984e-06
68,59030.3505,1,485.2885683639168,85.22120740654437,19.559944152832,0.190661877393723,26.2749443054199,3.60119997822039e-06
69,59033.3323,2,626.9025150969252,109.23959570004955,19.3550186157227,0.18919076025486,26.3480186462402,2.00389990823169e-06
70,59036.2763,2,677.9530923080314,73.10730546201835,19.2751979827881,0.11707903444767,26.3531970977783,1.73909995737631e-06
71,59039.1912,1,523.8417809918109,57.65888300861265,19.5324020385742,0.11950272321701,26.3304023742676,3.50450000041747e-06
72,59039.2342,2,650.4297218236982,57.62847843724556,19.3281230926514,0.0961950346827507,26.3611240386963,1.89829995633772e-06
73,59039.3095,2,666.8076126232008,64.2151598779729,19.2896213531494,0.104557558894157,26.3496227264404,1.45299998166593e-06
74,59042.2493,2,686.11962457324,69.78526142470477,19.2045440673828,0.110428869724274,26.2955436706543,1.44770001497818e-06
75,59042.3013,1,468.5967318654013,55.356594130175395,19.5571899414062,0.128258243203163,26.234188079834,2.73620003099495e-06
76,59045.2293,2,705.3426026010685,66.88849655455058,19.222843170166,0.10296007245779,26.343843460083,1.64330003826763e-06
77,59045.2615,1,541.5017363088234,64.28835833820212,19.5088405609131,0.128897652029991,26.3428401947021,3.53900009031349e-06
78,59048.2474,2,661.9116398483909,66.60220638996758,19.2994556427002,0.109246432781219,26.3514556884766,1.45520004934951e-06
79,59051.3122,1,481.2829900336781,51.0798319920168,19.5558834075928,0.11522863060236,26.2618846893311,3.44730005963356e-06
80,59054.2899,1,491.58660060899183,59.50998243877624,19.5808658599854,0.131432041525841,26.3098659515381,3.92760011891369e-06
81,59054.3521,2,667.4217103703969,62.46306505851859,19.2404556274414,0.101610980927944,26.301456451416,1.58379998538294e-06
82,59057.2695,1,452.0634887968964,57.0011109839833,19.6476306915283,0.13689923286438,26.2856292724609,2.30689988711674e-06
83,59057.3328,2,603.1149382831704,66.7970826820201,19.3309803009033,0.120247527956963,26.2819805145264,1.57900001340749e-06
84,59063.1874,2,617.7314505602262,96.67222366011005,19.3601493835449,0.169910952448845,26.3371486663818,1.98399993678322e-06
85,59066.2383,2,583.4445712961995,87.18573738628425,19.4079189300537,0.162242949008942,26.3229179382324,1.66589995842514e-06
86,59069.177,1,434.50994937701756,56.70397858901718,19.7343330383301,0.141685709357262,26.3293323516846,3.98080010199919e-06
87,59069.2167,2,526.2593180129935,48.46809853710565,19.5458278656006,0.0999933034181595,26.3488273620605,2.23679990085657e-06
88,59072.1926,2,629.7956788229625,78.77242680841657,19.3169097900391,0.135798111557961,26.3149089813232,1.64749997111358e-06
89,59072.2274,1,461.3183201398308,59.14442145130723,19.6127700805664,0.139196440577507,26.2727718353271,3.01320005746675e-06
